NotificationCleanerProvider.java,com.fasttrack.security.notificationcleaner.data.NotificationCleanerProvider.fetchBlockedAndTimeValidNotificationCount$1385f2,#6720,16,13
CrashGuard.java,com.fasttrack.security.CrashGuard$1.run,#9061,16,14
:com.google.android.gms.DynamiteModulesA@11975436,bolts.AppLink.sourceUrl,#9197,16,11
NotificationServiceV18.java,com.fasttrack.security.notificationcleaner.NotificationServiceV18.com.fasttrack.security.messagesecurity.MessageSecurityProcessor.process,#10057,15,9
MainActivity.java,com.fasttrack.security.MainActivity.onCreate,#9157,14,10
SCApplication.java,com.fasttrack.security.SCApplication$1.onPostReceive,#9166,14,9
ANRManagerNative.java,android.app.ANRManagerNative.asInterface,#21,13,6
MoPubBrowser.java,com.mopub.common.MoPubBrowser$1.onProgressChanged,#811,13,9
SceneJunkCleanFloatView.java,com.fasttrack.security.floatwindow.view.SceneJunkCleanFloatView.initView,#2478,13,7
AcbAdPlacementController.java,net.appcloudbox.ads.loadcontroller.AcbAdPlacementController.updatePreloadStrategy,#3853,13,10
:com.google.android.gms.DynamiteModulesA@11975436,bolts.UnobservedErrorNotifier.task,#9205,13,11
CallIdleAlert.java,com.call.assistant.ui.CallIdleAlert$6.onClick,#9159,12,7
Arrays.java,java.util.Arrays.checkOffsetAndCount,#599,11,7
NetworkChangeNotifierAutoDetect.java,org.chromium.net.NetworkChangeNotifierAutoDetect.getCurrentNetworkState,#3332,11,6
u,com.avl.engine.c.a.u.a,#4069,11,7
g,com.avl.engine.antivirus.g.a,#5759,11,7
SessionMgr.java,com.ihs.app.framework.inner.SessionMgr.startSession,#7624,11,8
:com.google.android.gms.DynamiteModulesA@11975036,com.acb.autopilot.inner.data.EventDBHelper.saveMessenger,#9148,11,9
BaseSettingsActivity.java,com.fasttrack.security.common.BaseSettingsActivity.onCreate,#1900,10,7
Config.java,net.appcloudbox.goldeneye.config.Config$2.net.appcloudbox.common.utils.AcbEncrypt.decode,#2164,10,7
AVLProvider,com.avl.engine.security.AVLProvider.update,#3966,10,8
NotificationDisplayManager.java,com.messagecenter.notification.NotificationDisplayManager$1.onReceive,#9123,10,8
:com.google.android.gms.DynamiteModulesA@11975440,com.airbnb.lottie.Cancellable.cancel,#9294,10,7
FloatWindowManager.java,com.ihs.flashlight.FloatWindowManager.createFloatWindow,#1350,9,2
AudienceNetworkActivity,com.facebook.ads.AudienceNetworkActivity.onBackPressed,#2432,9,8
FloatWindowManager.java,com.fasttrack.security.floatwindow.FloatWindowManager.createFloatWindowView$2fffad8c,#7291,9,7
CommonSessionMgr.java,net.appcloudbox.common.session.CommonSessionMgr.onActivityStart$63a22f9,#9132,9,3
:com.google.android.gms.DynamiteModulesA@11975236,bolts.Continuation.a,#9399,9,6
SnapSurfaceView.java,com.fasttrack.security.view.SnapSurfaceView$2.run,#1583,8,6
AVLProvider,com.avl.engine.security.AVLProvider.query,#5769,8,1
NativeProtocol.java,com.facebook.internal.NativeProtocol.fetchAllAvailableProtocolVersionsForAppInfo,#1266,7,7
StorageUtils.java,com.nostra13.universalimageloader.utils.StorageUtils.getCacheDirectory,#1284,7,3
FlashButton.java,com.fasttrack.security.lockscreen.charging.view.FlashButton.onSizeChanged,#2394,7,5
SmartClipRemoteRequestDispatcher.java,com.samsung.android.smartclip.SmartClipRemoteRequestDispatcher.,#2643,7,4
AcbContentProviderUtils.java,net.appcloudbox.common.utils.AcbContentProviderUtils.call$5671dad0,#2656,7,6
n,com.facebook.ads.internal.view.n.,#3737,7,1
Toasts.java,com.superapps.util.Toasts$1.run,#7886,7,5
:com.google.android.gms@11975436,lep.a,#8100,7,2
ChildConnectionAllocator.java,org.chromium.base.process_launcher.ChildConnectionAllocator.create,#8547,7,1
DeviceManager.java,com.fasttrack.security.util.DeviceManager.getRamUsage,#9027,7,6
TypefacedTextView.java,com.superapps.view.TypefacedTextView.onMeasure,#9192,7,6
CallIdleAlert.java,com.call.assistant.ui.CallIdleAlert.,#9213,7,2
IconScanView.java,com.fasttrack.security.view.IconScanView.startAnimationScan,#9260,7,7
CallIdleAlert.java,com.call.assistant.ui.CallIdleAlert$5.onClick,#9263,7,3
Notifications.java,com.superapps.util.Notifications$2.run,#9469,7,7
FloatTopBannerView.java,com.fasttrack.security.messagesecurity.view.FloatTopBannerView.hide,#9521,7,2
ThreadPoolFactory.java,com.ihs.device.common.async.ThreadPoolFactory.newThreadPool,#10044,7,1
GLSurfaceView.java,android.opengl.GLSurfaceView$EglHelper.throwEglException,#24,6,4
SmartClipRemoteRequestDispatcher.java,com.samsung.android.smartclip.SmartClipRemoteRequestDispatcher.,#1305,6,5
ActivityThread.java,android.app.ActivityThread.checkPowerSavingState,#1824,6,4
a,com.avl.engine.f.a.a,#3390,6,1
AcbAdPlacementController.java,net.appcloudbox.ads.loadcontroller.AcbAdPlacementController.isPreloadAllowed,#3868,6,6
PINKeyboardView.java,com.fasttrack.security.applock.view.PINKeyboardView.,#4035,6,1
AcbTaskExecutor.java,net.appcloudbox.common.Task.AcbTaskExecutor$1.run,#4062,6,4
a,com.avl.engine.h.d.a.,#5782,6,5
ResultPageActivity.java,com.fasttrack.security.resultpage.ResultPageActivity.onCreate,#9265,6,4
:com.google.android.gms.DynamiteModulesA@11975434,bolts.AppLink.sourceUrl,#9274,6,4
:com.google.android.gms.DynamiteModulesA@11975246,bolts.Continuation.a,#9330,6,4
:com.google.android.gms.DynamiteModulesA@11975436,com.airbnb.lottie.FontAssetManager.run,#9506,6,4
Binder.java,android.os.BinderProxy.transactNative,#148,5,4
GLSurfaceView.java,android.opengl.GLSurfaceView$BaseConfigChooser.chooseConfig,#416,5,1
NetworkDispatcher.java,com.mopub.volley.NetworkDispatcher.run,#1329,5,3
zzw,com.google.android.gms.internal.zzw.zza,#1599,5,4
XmlUtils.java,com.android.internal.util.XmlUtils.readThisValueXml,#1798,5,4
AcbImageLoader.java,net.appcloudbox.common.ImageLoader.AcbImageLoader.decodeFile,#2446,5,4
d,com.avl.engine.c.d.a,#4526,5,5
ResultTransitionUtils.java,com.fasttrack.security.resultpage.util.ResultTransitionUtils.startForJunkClean,#6946,5,3
GestureLockView.java,com.fasttrack.security.view.GestureLockView.vibrate$1349ef,#7815,5,3
CallIdleAlertActivity.java,com.call.assistant.ui.CallIdleAlertActivity.onCreate,#9135,5,5
AppLockBaseActivity.java,com.fasttrack.security.applock.AppLockBaseActivity.onCreate,#9241,5,4
:com.google.android.gms.DynamiteModulesA@11975430,com.airbnb.lottie.Cancellable.cancel,#9242,5,4
AppLockManager.java,com.fasttrack.security.applock.core.AppLockManager.cancelAllAppRelockTime,#9271,5,5
CommonSessionMgr.java,net.appcloudbox.common.session.CommonSessionMgr.net.appcloudbox.common.session.HomeKeyTracker.startTracker,#9288,5,4
:com.google.android.gms.DynamiteModulesA@11975234,bolts.Continuation.a,#9301,5,5
:com.google.android.gms.DynamiteModulesA@11975038,com.acb.autopilot.inner.data.EventDBHelper.saveMessenger,#9304,5,3
:com.google.android.gms.DynamiteModulesA@11975446,com.airbnb.lottie.Cancellable.cancel,#9345,5,5
AppLockActivity.java,com.fasttrack.security.applock.AppLockActivity.onResume,#9363,5,4
AlertMgr.java,com.ihs.app.alerts.impl.AlertMgr$2.isNetworkConnected,#9397,5,2
:com.google.android.gms.DynamiteModulesA@11975448,bolts.AppLink.sourceUrl,#9495,5,3
ProtectedAppDatabaseHelper.java,com.fasttrack.security.applock.manager.ProtectedAppDatabaseHelper.fetchProtectInfo,#9545,5,2
ProtectedAppDatabaseHelper.java,com.fasttrack.security.applock.manager.ProtectedAppDatabaseHelper.fetchProtectInfo,#9906,5,1
:com.google.android.gms@11975230,com.ihs.device.clean.junk.cache.app.sys.task.SysExternalCacheScanProcessor.d,#10079,5,1
Intents.java,com.mopub.common.util.Intents.deviceCanHandleIntent,#927,4,3
a,com.facebook.ads.internal.i.a.a.a,#1177,4,3
NetworkChangeNotifierAutoDetect.java,org.chromium.net.NetworkChangeNotifierAutoDetect$ConnectivityManagerDelegate.getNetworkCapabilities,#1857,4,4
FileUtils.java,net.appcloudbox.common.utils.FileUtils.readRawFile$27409007,#2241,4,3
EventUploadTask.java,com.acb.autopilot.inner.EventUploadTask$1.com.acb.autopilot.inner.data.EventDBHelper.insertEvent,#3264,4,3
AcbAdAdapter.java,net.appcloudbox.ads.base.AcbAdAdapter.loadAd,#3714,4,4
AcbAdLoader.java,net.appcloudbox.ads.loadcontroller.AcbAdLoader.loadingAdAndReturnOweCount,#3885,4,2
ResultTransitionUtils.java,com.fasttrack.security.resultpage.util.ResultTransitionUtils.startForBoost,#6432,4,3
NotificationCleanerProvider.java,com.fasttrack.security.notificationcleaner.data.NotificationCleanerProvider.fetchRecentBlockedAppPackageNameList$30a3ae68,#7151,4,2
MainActivity.java,com.fasttrack.security.MainActivity$18.onAnimationEnd,#7695,4,2
:com.google.android.gms.DynamiteModulesA@11975034,com.acb.autopilot.inner.data.EventDBHelper.saveMessenger,#9014,4,3
:com.google.android.gms.DynamiteModulesA@11975238,bolts.Continuation.a,#9188,4,4
ForegroundAppReporter.java,com.fasttrack.security.applock.core.ForegroundAppReporter.getForegroundPackageNameByScanProcFolder2,#9238,4,3
:com.google.android.gms.DynamiteModulesA@11975034,bolts.AppLinks.a,#9239,4,2
EntryActivity.java,com.fasttrack.security.EntryActivity.startMainActivity,#9249,4,2
NotificationReceiver.java,com.fasttrack.security.notification.NotificationReceiver.com.fasttrack.security.notification.NotificationManager.handleEventAndCollapse,#9302,4,3
ChargingReportActivity.java,com.ihs.chargingreport.ChargingReportActivity.onCreate,#9326,4,4
NotificationCleanerUtil.java,com.fasttrack.security.notificationcleaner.NotificationCleanerUtil.drawableToBitmap,#9408,4,4
CallIdleAlertActivity.java,com.call.assistant.ui.CallIdleAlertActivity.onReceive,#9455,4,2
MainActivity.java,com.fasttrack.security.MainActivity.onResume,#9564,4,3
:com.google.android.gms.DynamiteModulesA@11975032,bolts.AppLinks.a,#9743,4,2
MessageCenterSettings.java,com.messagecenter.customize.MessageCenterSettings.getDefaultSmsAppPackageName,#10110,4,1
PermanentService.java,com.ihs.device.permanent.PermanentService.createNotification$7adcf9d5,#10167,4,1
CpuCoolerManager.java,com.fasttrack.security.cpucooler.CpuCoolerManager.com.fasttrack.security.util.DeviceManager.getCpuTemperatureCelsius,#10225,4,1
CallIdleAlertActivity.java,com.call.assistant.ui.CallIdleAlertActivity.showCallAlert$550f7336,#10265,4,2
Binder.java,android.os.BinderProxy.transact,#132,3,2
KXmlParser.java,org.kxml2.io.KXmlParser.fillBuffer,#923,3,3
LiveWallpaperService.java,com.fasttrack.security.livewallpaper.LiveWallpaperService$SampleEngine.onSurfaceCreated,#1213,3,2
d,com.facebook.ads.internal.e.d.h,#1278,3,1
XmlUtils.java,com.android.internal.util.XmlUtils.readThisMapXml,#1749,3,3
AcbFileUtils.java,net.appcloudbox.common.ImageLoader.AcbFileUtils.getDiskCacheFolder,#2167,3,1
AcbFileUtils.java,net.appcloudbox.common.ImageLoader.AcbFileUtils.getSDCardAvailMB,#2358,3,3
LockScreenAdapter.java,com.fasttrack.security.lockscreen.LockScreenAdapter.instantiateItem,#2526,3,3
NotificationCleanerSettingActivity.java,com.fasttrack.security.notificationcleaner.activity.NotificationCleanerSettingActivity.onCreate,#2900,3,3
EventUploadTask.java,com.acb.autopilot.inner.EventUploadTask$1.com.acb.autopilot.inner.data.EventDBHelper.insertEvent,#4356,3,2
AcbNativeInterstitialActivity.java,net.appcloudbox.ads.interstitialads.NativeInterstitial.AcbNativeInterstitialActivity.onCreate,#4386,3,2
SecurityDBManager.java,com.fasttrack.security.manager.SecurityDBManager.deleteScanResult,#4584,3,2
Parcel.java,android.os.Parcel.readException,#4942,3,2
MemoryScanTask.java,com.ihs.device.clean.memory.task.MemoryScanTask$1.run,#5693,3,1
f,com.avl.engine.g.g.f.a,#6069,3,2
ResultListAdapter.java,com.fasttrack.security.resultpage.card.ResultListAdapter.onCreateViewHolder,#7094,3,1
JunkCleanAnimationActivity.java,com.fasttrack.security.junkclean.JunkCleanAnimationActivity.onCreate,#7740,3,3
SCPackageManager.java,com.fasttrack.security.applock.manager.SCPackageManager.updateInstalledApplicationsOnWorkerThread,#9190,3,2
